trial,cube,color,target_bin,pick_x,pick_y,final_x,final_y,horizontal_error_m,elapsed_seconds,controller_done,lift_height_m,gripper_initial_width,gripper_min_width,gripper_closed_on_object,genuine_grasp_verified,success
1,0,red,left,0.3843,-0.054,0.4792,0.3426,0.0027,25.68,True,0.2788,0.1,0.0449,True,True,True
2,1,red,left,0.4037,-0.0954,0.4817,0.338,0.0027,25.58,True,0.2791,0.08,0.0449,True,True,True
3,2,red,left,0.4804,-0.1124,0.4788,0.3423,0.0026,25.71,True,0.2772,0.08,0.045,True,True,True
4,0,red,left,0.4172,0.0013,0.4812,0.3394,0.0013,25.72,True,0.2765,0.08,0.0449,True,True,True
5,1,red,left,0.4754,0.0518,0.4798,0.3425,0.0025,25.57,True,0.272,0.08,0.0449,True,True,True
6,2,blue,right,0.4175,0.0214,0.4841,-0.3306,0.0102,25.61,True,0.2725,0.08,0.045,True,True,True
7,0,red,left,0.509,-0.0817,0.4753,0.3476,0.0089,25.57,True,0.2763,0.08,0.045,True,True,True
8,1,blue,right,0.4378,-0.0827,0.4793,-0.3386,0.0015,25.73,True,0.2647,0.08,0.0448,True,True,True
9,2,blue,right,0.3974,-0.0288,0.4776,-0.3394,0.0024,25.56,True,0.2744,0.08,0.0446,True,True,True
10,0,blue,right,0.5241,0.0249,0.4795,-0.3373,0.0027,25.41,True,0.2715,0.08,0.0446,True,True,True
11,1,red,left,0.5041,0.0087,0.4798,0.3426,0.0026,25.64,True,0.2736,0.08,0.045,True,True,True
12,2,blue,right,0.3934,-0.0496,0.482,-0.3328,0.0074,25.68,True,0.2728,0.08,0.0448,True,True,True
13,0,blue,right,0.4781,0.0491,0.4789,-0.3392,0.0014,25.7,True,0.2726,0.08,0.0447,True,True,True
14,1,red,left,0.4924,0.0655,0.4873,0.3281,0.0139,25.46,True,0.2737,0.08,0.0447,True,True,True
15,2,red,left,0.5254,0.088,0.4812,0.3391,0.0015,25.77,True,0.2706,0.08,0.045,True,True,True
16,0,blue,right,0.4273,0.0326,0.4774,-0.3411,0.0029,25.47,True,0.2755,0.08,0.045,True,True,True
17,1,blue,right,0.4077,-0.0347,0.4793,-0.3383,0.0019,25.92,True,0.2737,0.08,0.0448,True,True,True
18,2,blue,right,0.4993,0.0441,0.4791,-0.3398,0.001,25.68,True,0.2698,0.08,0.0447,True,True,True
19,0,red,left,0.4836,-0.0789,0.4815,0.3391,0.0018,25.74,True,0.2782,0.08,0.045,True,True,True
20,1,red,left,0.4078,-0.0289,0.4815,0.3396,0.0015,25.78,True,0.2782,0.08,0.0446,True,True,True

